,Genre
2,Genre: Hip-Hop | Tags: Hip-Hop
5,Genre: Hip-Hop | Tags: Hip-Hop
10,Genre: Pop | Tags: Pop
140,Genre: Folk | Tags: Folk
141,Genre: Folk | Tags: Folk
148,Genre: Experimental | Tags: Avant-Garde;Experimental
182,Genre: Rock | Tags: Lo-Fi;Rock
190,Genre: Folk | Tags: Folk
193,Genre: Folk | Tags: Folk
194,Genre: Folk | Tags: Folk
197,Genre: Folk | Tags: Folk
200,Genre: Folk | Tags: Folk
203,Genre: Folk | Tags: Folk
204,Genre: Folk | Tags: Folk
207,Genre: Folk | Tags: Folk
210,Genre: Folk | Tags: Folk
211,Genre: Folk | Tags: Folk
212,Genre: Folk | Tags: Folk
213,Genre: Pop | Tags: Pop
255,Genre: Rock | Tags: Rock
256,Genre: Rock | Tags: Rock;Metal
368,Genre: Rock | Tags: Post-Punk;Rock;Punk
424,Genre: Experimental | Tags: Avant-Garde;Experimental
459,Genre: Rock | Tags: Krautrock;Rock
534,Genre: Folk | Tags: Folk
540,Genre: Folk | Tags: Folk
546,Genre: Folk | Tags: Folk
574,Genre: Rock | Tags: Punk;Rock
602,Genre: Folk | Tags: Folk
615,Genre: Experimental | Tags: Electroacoustic;Experimental
620,Genre: Folk | Tags: Folk
621,Genre: Folk | Tags: Folk
625,Genre: Folk | Tags: Folk
666,Genre: International | Tags: International;Reggae - Dub
667,Genre: International | Tags: International;Reggae - Dub
676,Genre: Hip-Hop | Tags: Hip-Hop
690,Genre: Rock | Tags: Rock
694,Genre: Hip-Hop | Tags: Hip-Hop
695,Genre: Hip-Hop | Tags: Hip-Hop
704,Genre: International | Tags: International;Latin America
705,Genre: International | Tags: International;Latin America
706,Genre: International | Tags: International;Latin America
707,Genre: International | Tags: International;Latin America
708,Genre: International | Tags: International;Latin America
709,Genre: International | Tags: International;Latin America
714,Genre: Folk | Tags: Folk
715,Genre: Folk | Tags: Folk
716,Genre: Folk | Tags: Folk
718,Genre: Folk | Tags: Folk
777,Genre: Rock | Tags: Rock
814,Genre: Folk | Tags: Folk
821,Genre: Pop | Tags: Pop
822,Genre: Pop | Tags: Pop
825,Genre: Rock | Tags: Psych-Rock;Indie-Rock;Rock;Loud-Rock
853,Genre: International | Tags: International
890,Genre: Folk | Tags: Free-Folk;Folk
892,Genre: Folk | Tags: Free-Folk;Folk
897,Genre: Experimental | Tags: Noise;Experimental
993,Genre: Rock | Tags: Rock
995,Genre: Experimental | Tags: Noise;Experimental
997,Genre: Experimental | Tags: Noise;Experimental
998,Genre: Experimental | Tags: Noise;Experimental
1039,Genre: Rock | Tags: Loud-Rock;Rock;Noise-Rock
1040,Genre: Rock | Tags: Loud-Rock;Rock;Noise-Rock
1066,Genre: Experimental | Tags: Experimental;Audio Collage
1069,Genre: Experimental | Tags: Experimental;Audio Collage
1073,Genre: Experimental | Tags: Experimental;Audio Collage
1075,Genre: Experimental | Tags: Experimental;Audio Collage
1082,Genre: International | Tags: International
1083,Genre: Experimental | Tags: Avant-Garde;Experimental
1087,Genre: Rock | Tags: Rock
1102,Genre: Rock | Tags: Rock
1193,Genre: Folk | Tags: Folk
1195,Genre: Folk | Tags: Folk
1196,Genre: Folk | Tags: Folk
1197,Genre: Folk | Tags: Folk
1249,Genre: Experimental | Tags: Noise;Experimental
1259,Genre: Experimental | Tags: Noise;Experimental
1270,Genre: Rock | Tags: Punk;Rock
1276,Genre: Experimental | Tags: Experimental;Audio Collage
1277,Genre: Experimental | Tags: Experimental;Audio Collage
1278,Genre: Experimental | Tags: Experimental;Audio Collage
1417,Genre: Rock | Tags: Rock
1427,Genre: Rock | Tags: Rock
1443,Genre: Experimental | Tags: Experimental;Drone
1482,Genre: Electronic | Tags: Electronic
1510,Genre: Experimental | Tags: Noise;Experimental
1544,Genre: Folk | Tags: Psych-Folk;Folk
1642,Genre: Pop | Tags: Pop
1644,Genre: Pop | Tags: Pop
1649,Genre: Pop | Tags: Pop
1661,Genre: Pop | Tags: Pop
1663,Genre: Pop | Tags: Pop
1666,Genre: Pop | Tags: Pop
1673,Genre: Experimental | Tags: Experimental;Field Recordings
1680,Genre: International | Tags: International
1681,Genre: International | Tags: International
1682,Genre: International | Tags: International
1683,Genre: International | Tags: International
1684,Genre: International | Tags: International
1685,Genre: International | Tags: International
1686,Genre: International | Tags: International
1687,Genre: International | Tags: International
1688,Genre: International | Tags: International
1689,Genre: International | Tags: International
1701,Genre: Folk | Tags: Folk
1702,Genre: Folk | Tags: Folk
1703,Genre: Folk | Tags: Folk
1704,Genre: Folk | Tags: Folk
1706,Genre: Rock | Tags: Rock
1720,Genre: Rock | Tags: Psych-Rock;Rock
1732,Genre: Experimental | Tags: Experimental
1733,Genre: Experimental | Tags: Experimental
1735,Genre: Experimental | Tags: Experimental
1736,Genre: Experimental | Tags: Experimental
1883,Genre: Rock | Tags: Rock
1891,Genre: Rock | Tags: Rock
1893,Genre: Folk | Tags: Folk
1924,Genre: Folk | Tags: Folk
1925,Genre: Folk | Tags: Folk
1929,Genre: Experimental | Tags: Avant-Garde;Experimental
1930,Genre: Rock | Tags: Progressive;Rock
2012,Genre: Experimental | Tags: Noise;Experimental
